eval_setup,fold_id,AUCESS
ball_cross_template,0,0.4769913484798487
ball_cross_template,1,0.24475577096063142
ball_cross_template,2,0.4824783950614039
ball_cross_template,3,0.4461835639695507
ball_cross_template,4,0.2366540954417844
ball_cross_template,5,0.5036466898332846
ball_cross_template,6,0.3048629592273076
ball_cross_template,7,0.3705828375813183
ball_cross_template,8,0.16094387411687003
ball_cross_template,9,0.3046635438780846
ball_within_template,0,0.3616023970347166
ball_within_template,1,0.37544410986923693
ball_within_template,2,0.35232138465519763
ball_within_template,3,0.3661362356855683
ball_within_template,4,0.3446465503359612
ball_within_template,5,0.3739439762296399
ball_within_template,6,0.3519987319151244
ball_within_template,7,0.32667354561973677
ball_within_template,8,0.37190060042462925
ball_within_template,9,0.35770018760866745
